"Date","Start.Time","End.Time","Journey.Action","Charge","Credit","Balance","Note"
"13-Feb-2015","21:43","22:12","South Kensington to Richmond",0,NA,5.1,NA
"13-Feb-2015","18:18","18:47","Canary Wharf [London Underground] to South Kensington",0,NA,5.1,NA
"13-Feb-2015","07:14","08:03","Richmond to Canary Wharf [London Underground]",0,NA,5.1,NA
"12-Feb-2015","17:47","18:36","Canary Wharf [London Underground] to Richmond",0,NA,5.1,NA
"12-Feb-2015","07:04","07:52","Richmond to Canary Wharf [London Underground]",0,NA,5.1,NA
"11-Feb-2015","21:44","22:20","Canary Wharf [London Underground] to Richmond",0,NA,5.1,NA
"11-Feb-2015","07:14","08:06","Richmond to Canary Wharf [London Underground]",0,NA,5.1,NA
"10-Feb-2015","17:39","18:22","Canary Wharf [London Underground] to Richmond",0,NA,5.1,NA
"10-Feb-2015","07:15","08:04","Richmond to Canary Wharf [London Underground]",0,NA,5.1,NA
"09-Feb-2015","17:25","18:08","Canary Wharf [London Underground] to Richmond",0,NA,5.1,NA
"09-Feb-2015","07:14","08:11","Richmond to Canary Wharf [London Underground]",0,NA,5.1,NA
"09-Feb-2015","07:13","","Season ticket bought",0,NA,5.1,NA
"27-Jul-2014","18:34","19:21","Kings Cross [London Underground / National Rail] to Richmond",0,NA,5.55,""
"25-Jul-2014","16:59","17:23","Canary Wharf [London Underground] to Kings Cross [London Underground / National Rail]",0,NA,5.55,""
"25-Jul-2014","07:46","08:40","Richmond to Canary Wharf [London Underground]",0,NA,5.55,""
"24-Jul-2014","16:56","17:36","Bank to Richmond",0,NA,5.55,""
"24-Jul-2014","","16:35","[No touch-in] to Bank",0,NA,5.55,"We are not able to show where you touched in during this journey"
"24-Jul-2014","08:21","","Topped-up on touch in, Canary Wharf [London Underground]",NA,2.6,5.55,""
"24-Jul-2014","07:38","08:21","Richmond to Canary Wharf [London Underground]",0,NA,5.55,""
"23-Jul-2014","17:09","17:53","Canary Wharf [London Underground] to Richmond",0,NA,2.95,""
"23-Jul-2014","07:39","08:19","Richmond to Canary Wharf [London Underground]",0,NA,2.95,""
"03-Aug-2014","14:39","15:12","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,1.85,""
"03-Aug-2014","13:14","13:28","South Kensington to Embankment",0,NA,1.85,""
"03-Aug-2014","11:15","11:51","Richmond to South Kensington",0,NA,1.85,""
"02-Aug-2014","23:03","23:36","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,1.85,""
"02-Aug-2014","17:30","18:02","Richmond to Waterloo (platforms 12-19) [National Rail]",0,NA,1.85,""
"01-Aug-2014","23:50","00:33","Leicester Square to Richmond",0,NA,1.85,""
"01-Aug-2014","18:27","19:08","Richmond to Oxford Circus",0,NA,1.85,""
"01-Aug-2014","12:51","13:39","Canary Wharf [London Underground] to Richmond",0,NA,1.85,""
"01-Aug-2014","08:12","08:34","Kennington to Canary Wharf [London Underground]",0,NA,1.85,""
"31-Jul-2014","19:26","19:46","Richmond to Vauxhall [National Rail]",0,NA,1.85,""
"31-Jul-2014","16:09","16:49","Canary Wharf [London Underground] to Richmond",0,NA,1.85,""
"31-Jul-2014","07:38","08:20","Richmond to Canary Wharf [London Underground]",0,NA,1.85,""
"30-Jul-2014","16:51","17:33","Canary Wharf [London Underground] to Richmond",0,NA,1.85,""
"30-Jul-2014","07:39","08:33","Richmond to Canary Wharf [London Underground]",0,NA,1.85,""
"29-Jul-2014","16:45","17:23","Canary Wharf [London Underground] to Richmond",0,NA,1.85,""
"29-Jul-2014","","10:49","[No touch-in] to Blackfriars [London Underground]",0,NA,1.85,"We are not able to show where you touched in during this journey"
"29-Jul-2014","07:36","08:14","Richmond to Canary Wharf [London Underground]",0,NA,1.85,""
"28-Jul-2014","16:38","17:17","Canary Wharf [London Underground] to Richmond",0,NA,1.85,""
"28-Jul-2014","11:18","","Liverpool Street [London Underground] to [No touch-out]",0,NA,1.85,"We are not able to show where you touched out during this journey"
"28-Jul-2014","10:08","10:23","Canary Wharf DLR to Bank",0,NA,1.85,""
"28-Jul-2014","08:06","","Season ticket bought, Waterloo (Jubilee line entrance)",0,NA,1.85,""
"28-Jul-2014","07:44","08:22","Richmond to Canary Wharf [London Underground]",3.7,NA,1.85,"You have been charged for travelling in zones not covered by your Travelcard."
"09-Aug-2014","23:27","00:18","Kings Cross [London Underground / National Rail] to Richmond",2.7,NA,7.05,""
"09-Aug-2014","17:09","17:57","Richmond to Angel",4.1,NA,9.75,""
"08-Aug-2014","20:19","20:59","Leicester Square to Richmond",2.7,NA,13.85,""
"08-Aug-2014","17:11","17:27","Canary Wharf [London Underground] to Waterloo (Jubilee line entrance)",2.2,NA,16.55,""
"08-Aug-2014","07:29","08:18","Richmond to Canary Wharf [London Underground]",5.3,NA,18.75,""
"08-Aug-2014","07:29","","Topped up,  ",NA,20,24.05,""
"06-Aug-2014","22:02","22:38","Old Street to Richmond",0.7,NA,4.05,"The fare for this journey was capped as you reached the daily charging limit for the zones used"
"06-Aug-2014","22:02","","Topped up, Old Street",NA,5,4.75,""
"06-Aug-2014","17:09","","Bus journey, route 135",1.45,NA,-0.25,""
"06-Aug-2014","15:40","","Bus journey, route D7",1.45,NA,1.2,""
"06-Aug-2014","15:04","","Liverpool Street [London Underground] to [No touch-out]",5.1,NA,2.65,"We are not able to show where you touched out during this journey"
"06-Aug-2014","14:03","14:40","Richmond to Bank",4.1,NA,7.75,""
"06-Aug-2014","14:03","","Topped up,  ",NA,10,11.85,""
"16-Aug-2014","22:00","22:02","Entered and exited Richmond",0,NA,7.05,NA
"16-Aug-2014","17:58","18:04","Kew Gardens to Richmond",0,NA,7.05,NA
"16-Aug-2014","14:27","14:32","Richmond to Kew Gardens",0,NA,7.05,NA
"16-Aug-2014","13:13","13:14","Entered and exited Richmond",0,NA,7.05,NA
"15-Aug-2014","18:01","18:55","Canary Wharf [London Underground] to Richmond",0,NA,7.05,NA
"15-Aug-2014","14:20","15:04","Richmond to Canary Wharf [London Underground]",0,NA,7.05,NA
"15-Aug-2014","08:17","08:49","Kennington to Richmond",0,NA,7.05,NA
"14-Aug-2014","20:00","20:29","Richmond to Vauxhall [National Rail]",0,NA,7.05,NA
"13-Aug-2014","15:06","15:49","Canary Wharf [London Underground] to Richmond",0,NA,7.05,NA
"13-Aug-2014","08:19","","Bus journey, route D3",0,NA,7.05,NA
"12-Aug-2014","18:59","","Bus journey, route D3",0,NA,7.05,NA
"12-Aug-2014","07:40","08:20","Richmond to Canary Wharf [London Underground]",0,NA,7.05,NA
"11-Aug-2014","16:45","17:23","Canary Wharf [London Underground] to Richmond",0,NA,7.05,NA
"11-Aug-2014","07:35","08:17","Richmond to Canary Wharf [London Underground]",0,NA,7.05,NA
"11-Aug-2014","07:34","","Season ticket bought",0,NA,7.05,NA
"23-Aug-2014","08:27","09:05","Richmond to Kings Cross [London Underground / National Rail]",0,NA,7.05,NA
"21-Aug-2014","13:27","14:10","Canary Wharf [London Underground] to Richmond",0,NA,7.05,NA
"21-Aug-2014","07:33","08:12","Richmond to Canary Wharf [London Underground]",0,NA,7.05,NA
"20-Aug-2014","22:17","22:36","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,7.05,NA
"20-Aug-2014","18:12","18:42","Canary Wharf [London Underground] to Warren Street",0,NA,7.05,NA
"20-Aug-2014","07:33","08:14","Richmond to Canary Wharf [London Underground]",0,NA,7.05,NA
"19-Aug-2014","16:35","17:18","Canary Wharf [London Underground] to Richmond",0,NA,7.05,NA
"19-Aug-2014","07:36","08:12","Richmond to Canary Wharf [London Underground]",0,NA,7.05,NA
"18-Aug-2014","16:45","17:34","Canary Wharf [London Underground] to Richmond",0,NA,7.05,NA
"18-Aug-2014","07:30","08:17","Richmond to Canary Wharf [London Underground]",0,NA,7.05,NA
"18-Aug-2014","07:30","","Season ticket bought",0,NA,7.05,NA
"31-Aug-2014","13:52","14:28","Kings Cross [London Underground / National Rail] to Richmond",4.1,NA,2.95,NA
"07-Sep-2014","18:19","19:01","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,2.95,NA
"07-Sep-2014","17:34","","Season ticket bought, Waterloo [London Underground / National Rail]",0,NA,2.95,NA
"07-Sep-2014","17:09","17:34","Liverpool Street [London Underground] to Waterloo [London Underground / National Rail]",0,NA,2.95,NA
"05-Sep-2014","16:39","17:08","Richmond to Bank",0,NA,2.95,NA
"05-Sep-2014","16:33","16:37","Entered and exited Richmond",0,NA,2.95,NA
"04-Sep-2014","16:08","16:48","Canary Wharf [London Underground] to Richmond",0,NA,2.95,NA
"04-Sep-2014","07:36","08:12","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"03-Sep-2014","17:39","18:18","Canary Wharf [London Underground] to Richmond",0,NA,2.95,NA
"03-Sep-2014","07:38","08:21","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"02-Sep-2014","16:59","17:38","Canary Wharf [London Underground] to Richmond",0,NA,2.95,NA
"02-Sep-2014","07:40","08:19","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"01-Sep-2014","17:13","17:53","Canary Wharf [London Underground] to Richmond",0,NA,2.95,NA
"01-Sep-2014","07:37","08:12","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"01-Sep-2014","07:36","","Season ticket bought",0,NA,2.95,NA
"14-Sep-2014","18:00","18:43","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,2.95,NA
"14-Sep-2014","13:20","14:00","Richmond to Covent Garden",0,NA,2.95,NA
"14-Sep-2014","13:19","","Season ticket bought",0,NA,2.95,NA
"13-Sep-2014","19:11","19:43","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,2.95,NA
"13-Sep-2014","13:15","14:02","Richmond to Bermondsey",0,NA,2.95,NA
"10-Sep-2014","17:09","17:48","Canary Wharf [London Underground] to Richmond",0,NA,2.95,NA
"10-Sep-2014","07:33","08:12","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"09-Sep-2014","17:18","17:53","Canary Wharf [London Underground] to Richmond",0,NA,2.95,NA
"09-Sep-2014","07:35","08:14","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"08-Sep-2014","16:43","17:23","Canary Wharf [London Underground] to Richmond",0,NA,2.95,NA
"08-Sep-2014","07:32","08:12","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"21-Sep-2014","12:39","","Bus journey, route D3",0,NA,2.95,NA
"21-Sep-2014","11:23","12:17","Richmond to Canary Wharf [London Underground]",0,NA,2.95,NA
"20-Sep-2014","21:01","21:35","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,2.95,NA
"20-Sep-2014","17:18","17:30","Kings Cross [London Underground / National Rail] to Leicester Square",0,NA,2.95,NA
"20-Sep-2014","15:52","16:46","Richmond to Kings Cross [London Underground / National Rail]",0,NA,2.95,NA
"19-Sep-2014","23:35","00:15","South Kensington to Richmond",0,NA,2.95,NA
"19-Sep-2014","18:08","18:37","Richmond to South Kensington",0,NA,2.95,NA
"17-Sep-2014","21:49","22:29","London Bridge [London Underground] to Richmond",0,NA,2.95,NA
"17-Sep-2014","07:36","07:58","Richmond to Waterloo (platforms 12-19) [National Rail]",0,NA,2.95,NA
"16-Sep-2014","18:15","18:36","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,2.95,NA
"16-Sep-2014","07:35","08:21","Richmond to London Bridge [London Underground]",0,NA,2.95,NA
"28-Sep-2014","16:44","18:03","Mornington Crescent to Richmond",0,NA,11.2,NA
"28-Sep-2014","13:22","14:21","Richmond to Camden Town",0,NA,11.2,NA
"27-Sep-2014","20:34","21:19","Kings Cross (Piccadilly, Victoria lines) to Richmond",0,NA,11.2,NA
"27-Sep-2014","14:44","15:27","Richmond to Euston [London Underground]",0,NA,11.2,NA
"27-Sep-2014","12:31","12:32","Entered and exited Richmond",0,NA,11.2,NA
"25-Sep-2014","16:33","17:07","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"25-Sep-2014","07:37","08:20","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"24-Sep-2014","21:26","22:05","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"24-Sep-2014","19:24","19:47","North Greenwich to Canary Wharf [London Underground]",0,NA,11.2,NA
"24-Sep-2014","07:33","08:18","Richmond to North Greenwich",0,NA,11.2,NA
"24-Sep-2014","07:33","","Season ticket bought",0,NA,11.2,NA
"22-Sep-2014","07:41","08:26","Canary Wharf [London Underground] to Richmond",5.3,NA,11.2,NA
"22-Sep-2014","07:40","","Topped up, Canary Wharf [London Underground]",NA,15,16.5,NA
"22-Sep-2014","07:30","","Bus journey, route D3",1.45,NA,1.5,NA
"04-Oct-2014","16:41","17:13","Vauxhall [National Rail] to Richmond",0,NA,11.2,""
"04-Oct-2014","13:05","13:51","Richmond to Pimlico",0,NA,11.2,""
"03-Oct-2014","22:53","23:33","Ladbroke Grove to Richmond",0,NA,11.2,""
"03-Oct-2014","19:06","19:45","Richmond to Ladbroke Grove",0,NA,11.2,""
"03-Oct-2014","","13:36","[No touch-in] to Richmond",0,NA,11.2,"We are not able to show where you touched in during this journey"
"03-Oct-2014","12:54","13:08","Canary Wharf [London Underground] to Waterloo (platforms 12-19) [National Rail]",0,NA,11.2,""
"03-Oct-2014","07:24","08:04","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"02-Oct-2014","17:15","17:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"02-Oct-2014","07:26","08:10","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"01-Oct-2014","20:16","20:16","Entered and exited Waterloo (platforms 12-19) [National Rail]",0,NA,11.2,""
"01-Oct-2014","16:42","17:06","Canary Wharf [London Underground] to Goodge Street",0,NA,11.2,""
"01-Oct-2014","07:19","08:07","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"01-Oct-2014","07:18","","Season ticket bought",0,NA,11.2,""
"30-Sep-2014","16:15","16:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"30-Sep-2014","07:20","08:08","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"29-Sep-2014","18:17","18:56","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"29-Sep-2014","10:11","10:49","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"10-Oct-2014","21:55","22:18","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"10-Oct-2014","17:50","18:06","Canary Wharf [London Underground] to Waterloo (Jubilee line entrance)",0,NA,11.2,NA
"10-Oct-2014","07:23","08:09","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"09-Oct-2014","15:38","16:18","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"09-Oct-2014","07:24","08:09","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"08-Oct-2014","21:30","22:09","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"08-Oct-2014","10:42","10:55","Bank to Canary Wharf DLR",0,NA,11.2,NA
"08-Oct-2014","08:59","09:42","Richmond to Bank",0,NA,11.2,NA
"08-Oct-2014","08:59","","Season ticket bought",0,NA,11.2,NA
"06-Oct-2014","16:55","17:34","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"06-Oct-2014","07:23","08:32","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"18-Oct-2014","22:43","23:21","Warren Street to Richmond",0,NA,11.2,NA
"18-Oct-2014","19:27","","Bus journey, route 91",0,NA,11.2,NA
"18-Oct-2014","16:24","17:14","Richmond to Caledonian Road and Barnsbury",0,NA,11.2,NA
"17-Oct-2014","22:37","23:29","West Hampstead [London Underground] to Richmond",0,NA,11.2,NA
"17-Oct-2014","18:16","18:45","Canary Wharf [London Underground] to West Hampstead [London Underground]",0,NA,11.2,NA
"17-Oct-2014","07:22","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"16-Oct-2014","18:18","18:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"16-Oct-2014","07:15","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"15-Oct-2014","17:26","18:08","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"15-Oct-2014","07:18","08:03","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"15-Oct-2014","07:17","","Season ticket bought",0,NA,11.2,NA
"14-Oct-2014","18:21","19:04","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"14-Oct-2014","07:20","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"13-Oct-2014","18:19","19:05","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"13-Oct-2014","07:16","08:12","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"26-Oct-2014","23:46","","Bus journey, route 135",0,NA,11.2,NA
"26-Oct-2014","23:10","23:37","Tottenham Court Road to Canary Wharf [London Underground]",0,NA,11.2,NA
"26-Oct-2014","20:32","20:55","Canary Wharf [London Underground] to Tottenham Court Road",0,NA,11.2,NA
"26-Oct-2014","20:20","","Bus journey, route D7",0,NA,11.2,NA
"26-Oct-2014","16:22","17:00","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"25-Oct-2014","21:50","22:18","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"25-Oct-2014","20:44","21:31","Catford Bridge [National Rail] to Charing Cross [National Rail]",0,NA,11.2,NA
"25-Oct-2014","13:04","14:37","Richmond to Catford Bridge [National Rail]",0,NA,11.2,NA
"24-Oct-2014","18:03","18:49","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"24-Oct-2014","06:52","07:37","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"23-Oct-2014","17:55","18:40","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"23-Oct-2014","06:49","07:38","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"22-Oct-2014","18:33","19:20","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"22-Oct-2014","07:00","07:50","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"22-Oct-2014","06:59","","Season ticket bought",0,NA,11.2,NA
"21-Oct-2014","21:11","21:35","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"21-Oct-2014","18:26","18:46","Canary Wharf [London Underground] to Charing Cross [London Underground]",0,NA,11.2,NA
"21-Oct-2014","06:56","07:40","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"20-Oct-2014","15:13","15:51","Oxford Circus to Richmond",0,NA,11.2,NA
"20-Oct-2014","13:59","14:41","Richmond to Oxford Circus",0,NA,11.2,NA
"20-Oct-2014","12:51","13:37","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"20-Oct-2014","07:01","07:48","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"31-Oct-2014","17:24","18:04","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"31-Oct-2014","07:18","08:08","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"30-Oct-2014","17:38","18:10","Waterloo (platforms 12-19) [National Rail] to Richmond",0,NA,11.2,NA
"30-Oct-2014","17:18","17:37","Canary Wharf [London Underground] to Waterloo (platforms 12-19) [National Rail]",0,NA,11.2,NA
"30-Oct-2014","07:23","08:05","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"29-Oct-2014","17:43","18:25","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"29-Oct-2014","07:20","08:09","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"29-Oct-2014","07:20","","Season ticket bought",0,NA,11.2,NA
"28-Oct-2014","17:17","17:53","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"28-Oct-2014","07:25","08:06","Richmond to Canary Wharf [London Underground]",0,NA,11.2,NA
"27-Oct-2014","18:00","18:39","Canary Wharf [London Underground] to Richmond",0,NA,11.2,NA
"07-Nov-2014","17:43","18:29","Canary Wharf [London Underground] to Richmond",5.3,NA,2,""
"07-Nov-2014","08:05","08:05","[Unspecified location] to Canary Wharf [London Underground]",1.6,NA,7.3,"We have recorded a touch in for this journey but are unable to show the location."
"07-Nov-2014","07:18","07:49","Richmond to Waterloo (platforms 12-19) [National Rail]",3.7,NA,8.9,""
"06-Nov-2014","19:42","20:55","Canary Wharf DLR to Richmond",2.7,NA,12.6,""
"06-Nov-2014","07:59","07:59","[Unspecified location] to Canary Wharf [London Underground]",1.6,NA,15.3,"We have recorded a touch in for this journey but are unable to show the location."
"06-Nov-2014","07:12","07:41","Richmond to Waterloo (platforms 12-19) [National Rail]",3.7,NA,16.9,""
"05-Nov-2014","17:35","18:23","Canary Wharf [London Underground] to Richmond",5.3,NA,20.6,""
"05-Nov-2014","07:12","07:56","Richmond to Canary Wharf [London Underground]",5.3,NA,25.9,""
"05-Nov-2014","07:11","","Topped up,  ",NA,20,31.2,""
"04-Nov-2014","07:11","07:52","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"03-Nov-2014","18:01","19:15","Canary Wharf [London Underground] to Richmond",0,NA,11.2,""
"03-Nov-2014","07:14","08:02","Richmond to Canary Wharf [London Underground]",0,NA,11.2,""
"14-Dec-2014","20:46","","Bus journey, route 391",0,NA,2,NA
"14-Dec-2014","19:43","20:44","High Street Kensington to Gunnersbury",0,NA,11.2,NA
"14-Dec-2014","17:05","","Bus journey, route 9",0,NA,2,NA
"14-Dec-2014","13:56","14:33","Richmond to Hyde Park Corner",0,NA,11.2,NA
"13-Dec-2014","16:17","16:23","Kew Gardens to Richmond",0,NA,11.2,NA
